repeat_count,date,observer,details,ids,createdAt_samples
21,2026-01-06,محمد سعيد حسن محمد شرف,وجود عوائق امام ابوابة الطوارئ والممرات,DOB-2045 | DOB-4987 | DOB-5044 | DOB-5083 | DOB-5119 | DOB-5154 | DOB-5184 | DOB-5218 | DOB-5251 | DOB-5287 | DOB-5367 | DOB-5410 | DOB-5450 | DOB-5481 | DOB-5508 | DOB-5542 | DOB-5572 | DOB-5601 | DOB-5638 | DOB-5680 | DOB-5955,2026-01-06
21,2026-01-06,محمد سعيد حسن محمد شرف,تم ملاحظه تلف في بعد العارضات داخل الثلاجه 102,DOB-2056 | DOB-4998 | DOB-5055 | DOB-5094 | DOB-5130 | DOB-5165 | DOB-5195 | DOB-5229 | DOB-5262 | DOB-5298 | DOB-5378 | DOB-5421 | DOB-5461 | DOB-5492 | DOB-5519 | DOB-5553 | DOB-5583 | DOB-5612 | DOB-5649 | DOB-5691 | DOB-5966,2026-01-07
20,2026-01-06,محمد سعيد حسن محمد شرف,تم ملاحظه تلف الجزء  الفاصل في ثلاجه رقم 102,DOB-2057 | DOB-4999 | DOB-5056 | DOB-5095 | DOB-5131 | DOB-5166 | DOB-5196 | DOB-5230 | DOB-5263 | DOB-5299 | DOB-5379 | DOB-5422 | DOB-5462 | DOB-5493 | DOB-5520 | DOB-5554 | DOB-5584 | DOB-5613 | DOB-5650 | DOB-5692,2026-01-07
20,2026-01-06,محمد سعيد حسن محمد شرف,تم ملاحظه ان الارضيه قد تتسبب في انزلاق احد العاملين اثناء الحركه أمام وداخل الثلاجات,DOB-2058 | DOB-5000 | DOB-5057 | DOB-5096 | DOB-5132 | DOB-5167 | DOB-5197 | DOB-5231 | DOB-5264 | DOB-5300 | DOB-5380 | DOB-5423 | DOB-5463 | DOB-5494 | DOB-5521 | DOB-5555 | DOB-5585 | DOB-5614 | DOB-5651 | DOB-5693,2026-01-07
20,2026-01-06,محمد سعيد حسن محمد شرف,تم ملاحظه تلف بعد الأجزاء داخل الثلاجه,DOB-2059 | DOB-5001 | DOB-5058 | DOB-5097 | DOB-5133 | DOB-5168 | DOB-5198 | DOB-5232 | DOB-5265 | DOB-5301 | DOB-5381 | DOB-5424 | DOB-5464 | DOB-5495 | DOB-5522 | DOB-5556 | DOB-5586 | DOB-5615 | DOB-5652 | DOB-5694,2026-01-07
20,2026-01-06,محمد سعيد حسن محمد شرف,تم ملاحظه وجود الشناكل في الترابيزات دائما وهذا يشكل خطوره علي العاملين اثناء العمل,DOB-2060 | DOB-5002 | DOB-5059 | DOB-5098 | DOB-5134 | DOB-5169 | DOB-5199 | DOB-5233 | DOB-5266 | DOB-5302 | DOB-5382 | DOB-5425 | DOB-5465 | DOB-5496 | DOB-5523 | DOB-5557 | DOB-5587 | DOB-5616 | DOB-5653 | DOB-5695,2026-01-07
20,2026-01-06,محمد سعيد حسن محمد شرف,تم ملاحظه استخدام وصله كهرباء لكي يتم تشغيل ماكينه التعقيم ويتم ترك الفيشه علي الارض في المياه وقد يتسبب ذلك في صعق العمال بالكهرباء اثناء التعقيم,DOB-2061 | DOB-5003 | DOB-5060 | DOB-5099 | DOB-5135 | DOB-5170 | DOB-5200 | DOB-5234 | DOB-5267 | DOB-5303 | DOB-5383 | DOB-5426 | DOB-5466 | DOB-5497 | DOB-5524 | DOB-5558 | DOB-5588 | DOB-5617 | DOB-5654 | DOB-5696,2026-01-07
20,2026-01-06,محمد سعيد حسن محمد شرف,تم ملاحظه تلف تريه حامل كبل كهرباء وتم سقوط الكبل علي الارض داخل المياه,DOB-2062 | DOB-5004 | DOB-5061 | DOB-5100 | DOB-5136 | DOB-5171 | DOB-5201 | DOB-5235 | DOB-5268 | DOB-5304 | DOB-5384 | DOB-5427 | DOB-5467 | DOB-5498 | DOB-5525 | DOB-5559 | DOB-5589 | DOB-5618 | DOB-5655 | DOB-5697,2026-01-07
20,2026-01-06,محمد سعيد حسن محمد شرف,تم ملاحظه وجود كبلات كهرباء ملقاه على الارض بجوار العاملين ويوجد بها عده وصلات,DOB-2063 | DOB-5005 | DOB-5062 | DOB-5101 | DOB-5137 | DOB-5172 | DOB-5202 | DOB-5236 | DOB-5269 | DOB-5305 | DOB-5385 | DOB-5428 | DOB-5468 | DOB-5499 | DOB-5526 | DOB-5560 | DOB-5590 | DOB-5619 | DOB-5656 | DOB-5698,2026-01-07
20,2026-01-06,محمد سعيد حسن محمد شرف,تم ملاحظه وجود تلفيات في خرطوم التعقيم,DOB-2064 | DOB-5006 | DOB-5063 | DOB-5102 | DOB-5138 | DOB-5173 | DOB-5203 | DOB-5237 | DOB-5270 | DOB-5306 | DOB-5386 | DOB-5429 | DOB-5469 | DOB-5500 | DOB-5527 | DOB-5561 | DOB-5591 | DOB-5620 | DOB-5657 | DOB-5699,2026-01-07
