date,id,site,status,details,createdAt
2026-01-07,DOB-2115,ICAPP-2,مفتوح,تم ملاحظه عدم ارتداء المهام الوقائية اثناء استخدام ماكينه اللحام مثل الجوانتي,2026-01-11
2026-01-10,DOB-2106,ICAPP-2,مفتوح,تم ملاحظه وجود كبل ارس ارضي غير مثبت علي خط التعبئة رقم 1 أسفل ماكينه الصينيه الدواره,2026-01-10
2026-01-10,DOB-2107,ICAPP-2,مفتوح,تم ملاحظه وجود كبل ارس ارضي غير مثبت أسفل السير الصاعد على خط التعبئة رقم 1,2026-01-10
2026-01-10,DOB-2108,ICAPP-2,مفتوح,تم ملاحظه وجود كبل ارس ارضي غير مثبت أسفل ماكينه البستره على خط التعبئه 2,2026-01-10
2026-01-10,DOB-2193,ICAPP-2,مفتوح,تم ملاحظه وقوف الفني علي الجزء الدوار اثناء تركيب الفرش لعدم وجود ممشي لكي يتم الوقوف عليه اثناء عمل الصيانه,2026-01-20
2026-01-10,DOB-2194,ICAPP-2,مفتوح,تم ملاحظه عدم وجود ويرات لكي يتم التصبين جيدا,2026-01-20
2026-01-10,DOB-2195,ICAPP-2,مفتوح,تم ملاحظه اثناء عماليه التصبين تم ملاحظه عدم وجود اقفال لكي يتم استخدامها الغلق الويرات,2026-01-20
2026-01-11,DOB-2110,ICAPP-1,مغلق,تم ملاحظه وجود حواف حاده علي كفر مفتاح السير الصاعد للنفق علي خط الفراوله 1,2026-01-11
2026-01-11,DOB-2111,ICAPP-1,مفتوح,تم ملاحظه كشاف الطواري هائل الي السقوط بجوار خط الفراوله 1 قبل النفق,2026-01-11
2026-01-11,DOB-2112,ICAPP-1,مفتوح,تم ملاحظه عدم وجود كفر حمايه علي مفاتيح الكهرباء الموجوده علي نفق خط الفراوله 1,2026-01-11
2026-01-11,DOB-2113,ICAPP-1,مفتوح,تم ملاحظه عدم وجود سلم للصعود علي وحده البلاص (وحده التبريد ) في حاله الطوارئ,2026-01-11
2026-01-11,DOB-2114,ICAPP-1,مفتوح,تم ملاحظه عدم وجود كفر حمايه علي مفاتيح الكهرباء الموجود علي نفق خط الفراوله 4,2026-01-11
2026-01-11,DOB-2116,ICAPP-1,مفتوح,تم ملاحظه تلف وير الباب الخاص برصيف التحميل رقم 3 وقد يتم سقوطه علي أحد العاملين,2026-01-11
2026-01-11,DOB-2117,ICAPP-1,مغلق,تم ملاحظه ان لوحه التحكم في رصيف التحميل هائله إلي السقوط,2026-01-11
2026-01-11,DOB-2118,ICAPP-1,مفتوح,تم ملاحظه انه قد يتم سقوط المعدات أو العاملين داخل غرف الصرف بسبب تلف الغطاء الخاص بها ويتم التحرك عن الغرفة,2026-01-11
2026-01-11,DOB-2119,ICAPP-1,مفتوح,تم ملاحظه عدم وجود غطاء حديد في جزئيه علي كبلات الكهرباء داخل المحطه,2026-01-11
2026-01-11,DOB-2121,ICAPP-1,مفتوح,تم ملاحظه تلف كشاف الاضاءه أمام نفق خط الفراوله 3,2026-01-11
2026-01-11,DOB-2123,ICAPP-1,مفتوح,تم ملاحظه عدم تثبيت فيشه الكهرباء جيدا وقد تتسبب في صعق احد العمال بالكهرباء اثناء الاستخدام,2026-01-12
2026-01-11,DOB-2131,ICAPP-1,مغلق,تم ملاحظه تلف الفيشه وقد تتسبب في صعق احد العمال بالكهرباء اثناء الاستخدام,2026-01-12
2026-01-12,DOB-2124,ICAPP-1,مفتوح,تم ملاحظه وجود مخلفات خطره داخل المخزن تابعة الي شركه ناس,2026-01-12
2026-01-12,DOB-2125,ICAPP-1,مغلق,تم ملاحظه ان المخزن التابع الي شركه ناس غير منظم وقد يتسبب ذلك في حدوث حريق إذا حدث ماس كهربائى,2026-01-12 22:20:21
2026-01-12,DOB-2126,ICAPP-1,مغلق,تم ملاحظه ترك اسطوانه بدون كفر حمايه ملقاه علي الارض ولم يتم وضعها في المكان المخصص لها,2026-01-12
2026-01-12,DOB-2128,ICAPP-1,مغلق,تم ملاحظه ركوب التباع بجوار سائق الكلارك اثناء تحميل المواسير التابعه الي الصيانه,2026-01-12
2026-01-12,DOB-2129,ICAPP-1,مفتوح,تم ملاحظه وجود حواف حاده في بوابه الامن الرئيسيه,2026-01-12
2026-01-12,DOB-2130,ICAPP-1,مغلق,تم ملاحظه تلف غطاء غرفه الصرف وقد تتسبب في اصابه احد العمال اثناء الحركه,2026-01-12
2026-01-13,DOB-2132,ICAPP-2,مفتوح,تم ملاحظه عدم وجود رمب علي رصيف للتحميل وهذا يشكل خطوره علي العاملين اثناء التحميل,2026-01-13
